,coin,symbol,price,1h,24h,7d,24h_volume,mkt_cap,Liquidity_Ratio,volatility
265,Origin Protocol,OGN,0.41561,-0.013,-0.043,0.488,103519781,197701631,0.5236162214564634,High
266,UFO Gaming,UFO,7.566144e-06,0.0069999999999999,0.005,-0.0559999999999999,5528279,194844243,0.028372811610348683,Stable
267,Ardor,ARDR,0.194427,-0.004,0.008,-0.043,5019344,194331101,0.02582882500109954,Stable
268,Pundi X,PUNDIX,0.745885,0.0,0.008,-0.049,4093358,192900544,0.021220043837719815,Stable
269,Civic,CVC,0.28617,-0.001,0.067,0.044,61814649,192055742,0.321857854164027,High
270,GMX,GMX,25.47,0.003,0.119,0.0139999999999999,3169278,190389663,0.016646271389219276,Low
271,Kyber Network Crystal Legacy,KNCL,3.03,0.015,-0.011,-0.032,82195466,187322633,0.43879089613266326,High
272,MX Token,MX,1.87,-0.001,0.006,-0.005,374184,186909022,0.0020019579365195116,Low
273,Coinmetro,XCM,0.613238,0.003,0.006,-0.024,36444,185482862,0.000196481764444631,Low
274,Conflux,CFX,0.118894,-0.001,0.022,-0.055,5488882,185392410,0.029606832340115758,Stable
275,Yoshi.exchange,YOSHI,1.4,0.001,0.05,0.28,1673418,183581718,0.009115384790112924,Low
276,Wonderland,TIME,200.89,0.002,0.021,-0.054,1142909,181461291,0.006298362552705525,Low
277,MiL.k Alliance,MLK,0.814028,-0.001,-0.0,-0.004,9464173,181018689,0.052282850197859956,Stable
278,XSGD,XSGD,0.737151,0.0,0.003,0.002,2206838,180464893,0.012228627758641123,Low
279,Divi,DIVI,0.064853595251,0.018,0.036,-0.008,202892,180441034,0.001124422729699055,Low
280,JOE,JOE,0.982235,-0.011,0.1119999999999999,-0.033,47914853,180295364,0.2657575432721609,High
281,Radicle,RAD,4.33,-0.0,-0.022,-0.065,7819981,178613189,0.04378165489223755,Stable
282,SuperFarm,SUPER,0.612438,-0.002,0.012,-0.062,13815815,176123468,0.07844391867187171,Stable
283,Pundi X [OLD],NPXS,0.000739037314,0.005,0.23,-0.0559999999999999,3233,175021533,1.847201281227493e-05,Low
284,Aragon,ANT,4.6,0.005,-0.0069999999999999,-0.032,20342438,174947342,0.11627749108643216,Stable
285,Reserve Rights Token,RSR,0.013289915359,-0.003,-0.037,0.016,62606911,174938398,0.35787975490663865,High
286,Moonriver,MOVR,51.56,0.001,0.0579999999999999,-0.063,19258945,174781398,0.11018875704381309,Stable
287,BTSE Token,BTSE,8.47,0.017,0.0069999999999999,0.088,182389,171754643,0.001061915979761898,Low
288,Ergo,ERG,3.26,-0.006,0.002,0.004,1480738,170208459,0.008699555878124718,Low
289,Rari Governance Token,RGT,15.15,-0.0,0.016,-0.064,109283,170001175,0.0006428367333343432,Low
290,Request,REQ,0.219206,-0.002,0.006,0.093,11689099,169969973,0.06877155296129864,Stable
291,Cartesi,CTSI,0.321965,0.003,0.033,0.0,17202782,167831024,0.10250060799247701,Stable
292,Aurora,AURORA,7.35,-0.001,0.072,-0.069,1298850,167615843,0.007748969171130202,Low
293,Veritaseum,VERI,77.68,-0.064,0.032,0.3279999999999999,61535,167034953,0.0003683959488407196,Low
294,Power Cash,PRCH,0.000580255891,0.004,0.057,-0.034,121835,165663549,0.0007354363753247856,Low
295,MMFinance,MMF,1.2,-0.002,0.091,0.381,46298812,165134827,0.28036976112858375,High
296,sBTC,SBTC,40716.13,0.0,0.005,-0.0279999999999999,2583416,165066520,0.015650757040252622,Low
297,Numeraire,NMR,27.87,0.0,-0.009,-0.036,3832085,164787989,0.0232546378122255,Stable
298,Alchemy Pay,ACH,0.040004817834,0.005,-0.013,-0.045,6824925,164599197,0.041463902159862905,Stable
299,FEG Token BSC,FEG,3.893e-09,0.025,-0.023,-0.013,270143,163269693,0.0016545814170177927,Low
300,inSure DeFi,SURE,0.006161036427,0.006,0.03,0.132,1159883,162967567,0.00711726278640461,Low
301,Multichain,MULTI,8.85,-0.001,-0.033,-0.243,841002,162445121,0.005177145332668994,Low
302,Bifrost,BFC,0.149851,-0.0,0.005,-0.026,1897563,159291451,0.011912522537069488,Low
303,Ion,ION,7395.39,-0.037,0.048,-0.139,417792,157510201,0.002652475822819882,Low
304,World Mobile Token,WMT,0.668572,0.001,0.022,-0.0559999999999999,1060965,156579542,0.006775885191949277,Low
305,Poollotto.finance,PLT,17.97,0.015,0.021,0.036,701074,156426727,0.004481804442536217,Low
306,Mango,MNGO,0.150121,0.001,0.015,-0.017,491181,156098438,0.0031466106022149947,Low
307,AscendEx Token,ASD,0.209002,-0.002,-0.001,-0.047,1996023,155507488,0.01283554268460693,Low
308,Reef Finance,REEF,0.008484927042,0.002,0.005,-0.022,15128863,154953141,0.09763508440270985,Stable
309,Storj,STORJ,1.06,0.003,0.0279999999999999,0.076,22799371,153045067,0.14897161631482053,High
310,FEG Token,FEG,3.712e-09,-0.012,0.005,0.001,596220,152507971,0.003909435002580947,Low
311,Tokamak Network,TON,3.63,0.001,0.018,-0.049,3175683,152418252,0.02083531964400169,Stable
312,Akash Network,AKT,1.14,0.013,0.039,0.005,1488453,150977820,0.009858752762491868,Low
313,Origin Dollar,OUSD,0.996761,-0.001,0.003,-0.005,384674,150877504,0.002549578232683383,Low
314,Verge,XVG,0.009119355152,0.0,-0.001,-0.1369999999999999,3989138,150565690,0.02649433612664346,Stable
315,VeThor Token,VTHO,0.003276533427,-0.002,0.01,0.021,5281032,149610423,0.0352985567055044,Stable
316,Merit Circle,MC,2.12,-0.001,0.015,0.035,9053682,149412537,0.0605951962384522,Stable
317,USDX,USDX,0.972184,0.0069999999999999,0.006,0.003,633490,148673012,0.004260961633036667,Low
318,Band Protocol,BAND,3.57,0.001,-0.012,-0.043,14710862,148621625,0.0989819752004461,Stable
319,aelf,ELF,0.320715,-0.001,0.0069999999999999,-0.038,6682894,148069098,0.04513361727914355,Stable
320,Biconomy,BICO,1.29,-0.006,-0.018,-0.0,30433864,147807938,0.2059014178250697,High
321,OriginTrail,TRAC,0.403433,-0.01,0.006,-0.093,1641938,147741339,0.011113599017807738,Low
322,Beldex,BDX,0.09810351345,0.005,-0.0289999999999999,0.3779999999999999,270960,147183281,0.001840969967234254,Low
323,Orchid Protocol,OXT,0.245431,0.0,0.035,0.06,16831078,145268599,0.11586177684552461,Stable
324,StarLink,STARL,1.4478205e-05,0.002,0.003,-0.023,6019692,144516643,0.04165397060876926,Stable
325,GPEX,GPX,3.77,-0.002,-0.017,-0.061,166864,144310185,0.0011562870631757558,Low
326,Kishu Inu,KISHU,1.484e-09,-0.0,-0.039,0.073,5930373,143713655,0.04126520197402258,Stable
327,Beta Finance,BETA,0.390171,0.001,0.0069999999999999,-0.087,16200954,140529092,0.1152854100843404,Stable
328,Ark,ARK,0.855048,0.008,0.024,-0.053,2191914,139681382,0.01569224164749458,Low
329,TrueFi,TRU,0.214734,0.095,0.1939999999999999,0.242,14102206,137832596,0.10231401286238562,Stable
330,STASIS EURO,EURS,1.11,-0.001,0.005,0.001,5583658,137830475,0.04051105533808833,Stable
331,Acala,ACA,1.08,0.002,-0.0139999999999999,-0.054,8839438,137419617,0.06432442611159365,Stable
332,Keep3rV1,KP3R,361.53,0.003,0.003,-0.032,19120535,135737507,0.14086405019947804,High
333,Magic,MAGIC,2.66,-0.002,-0.045,-0.054,4586490,135701244,0.03379843739678613,Stable
334,Hxro,HXRO,0.304276,0.0,-0.003,-0.066,71104,133744124,0.0005316420480648555,Low
335,Sperax,SPA,0.170244,-0.004,0.026,-0.026,911737,133654459,0.006821598073282389,Low
336,MaidSafeCoin,MAID,0.295224,0.001,0.001,-0.067,7810,133599281,5.845839844003352e-05,Low
337,flexUSD,FLEXUSD,1.0,-0.0,-0.005,0.002,312664,132659636,0.0023568887223541003,Low
338,Prometeus,PROM,8.05,-0.001,0.011,-0.031,889637,132399958,0.006719314820326454,Low
339,Iron Bank EURO,IBEUR,1.1,0.0,0.016,0.005,57945,132176489,0.0004383911271845025,Low
340,Qredo,QRDO,2.61,-0.0,0.0279999999999999,0.024,16725771,131117652,0.12756307594647898,High
341,Bezoge Earth,BEZOGE,2.984e-09,-0.004,-0.022,-0.177,176270,130736810,0.0013482813294893763,Low
342,Victoria VR,VR,0.154224,0.01,0.067,0.131,10041552,130077410,0.07719674000274145,Stable
343,Polkastarter,POLS,1.47,0.018,-0.042,0.198,34461134,129790575,0.2655133779937411,High
344,DUSK Network,DUSK,0.32285,-0.024,-0.0069999999999999,-0.108,10733697,129772453,0.0827116753352886,Stable
345,iExec RLC,RLC,1.81,0.004,-0.001,0.01,4304190,129744853,0.03317426395326834,Stable
346,RMRK,RMRK,13.61,-0.006,-0.003,-0.07,3122953,129381545,0.02413754604646281,Stable
347,THORChain (ERC20),RUNE,7.98,0.003,0.122,0.584,2414143,129360305,0.018662162245211156,Low
348,Metadium,META,0.076139640664,-0.002,-0.012,0.004,9899795,128563501,0.07700315348444034,Stable
349,StormX,STMX,0.013797399421,0.002,-0.0139999999999999,-0.1,1844462,128358108,0.014369657115855899,Low
350,Stratis,STRAX,0.94622,-0.003,0.013,-0.04,14410182,128080393,0.11250888338545308,Stable
351,STP Network,STPT,0.087992796441,0.0,0.016,-0.046,7298290,127931734,0.05704831609645813,Stable
352,Steem,STEEM,0.322052,0.004,0.02,-0.011,4267199,127246640,0.033534865832213726,Stable
353,DEAPCOIN,DEP,0.027101682754,-0.008,-0.018,-0.159,5123322,126235341,0.04058548073316489,Stable
354,Meerkat Shares,MSHARE,14141.32,0.001,0.091,1.065,8589756,126105039,0.06811588234788936,Stable
355,RSK Infrastructure Framework,RIF,0.151385,-0.002,0.01,-0.07,206651,125639850,0.0016447886558285448,Low
356,Dawn Protocol,DAWN,1.72,0.001,0.0139999999999999,0.006,4063485,125035795,0.03249857370843285,Stable
357,Alpha Finance,ALPHA,0.280024,0.003,0.004,-0.003,5728562,125007857,0.04582561558510678,Stable
358,NKN,NKN,0.191882,0.005,-0.003,-0.0139999999999999,5872145,124824929,0.047043046986231414,Stable
359,Decentral Games,DG,0.322954,-0.01,0.059,0.008,1307545,124818085,0.01047560535798959,Low
360,Balancer,BAL,11.52,0.0,0.006,-0.038,8895097,124477702,0.07145936064918679,Stable
361,Strike,STRK,39.63,0.002,0.044,-0.01,70589902,124043364,0.5690743924036114,High
362,Alien Worlds,TLM,0.099181828389,0.008,0.0279999999999999,-0.019,53533075,123122031,0.4347968805030515,High
363,Dero,DERO,10.93,0.001,0.0069999999999999,-0.158,568520,122930832,0.00462471448985231,Low
364,Sun Token,SUN,0.011601809279,0.0,0.0,-0.026,20031921,122048839,0.16413036915492493,High
365,Tomb Shares,TSHARE,3117.12,-0.015,0.07,-0.346,15057752,122042187,0.12338153199434225,High
366,GXChain,GXC,1.62,-0.006,-0.01,-0.046,11044304,122034911,0.09050118453398963,Stable
367,Ankr Reward-Bearing Staked ETH,AETHC,2254.71,0.005,0.027,-0.035,103476,120703323,0.0008572754869391624,Low
368,Spookyswap,BOO,13.41,-0.005,0.027,-0.073,3033122,120688730,0.025131774938720458,Stable
369,Maple,MPL,26.62,-0.016,0.048,0.216,6013862,120557876,0.04988360942921722,Stable
370,Kirobo,KIRO,0.125334,0.009,-0.008,-0.102,60450,119964465,0.0005038992171556802,Low
371,BENQI Liquid Staked AVAX,SAVAX,79.79,-0.0,0.095,0.0289999999999999,1138158,119637582,0.009513381840164573,Low
372,sETH2,SETH2,2818.01,0.005,0.0279999999999999,0.035,958190,119015862,0.008050943663290865,Low
373,Aavegotchi,GHST,1.94,-0.001,0.0,-0.008,28955029,117650490,0.2461105686852643,High
374,FUNToken,FUN,0.011072744983,-0.0069999999999999,0.012,-0.012,840985,117522843,0.007155927975636192,Low
375,agEUR,AGEUR,1.11,0.003,0.011,0.005,2130541,115865259,0.018388091636682917,Low
376,Alchemix,ALCX,96.93,-0.001,0.023,-0.144,6978992,114928689,0.0607245419809844,Stable
377,Hoo Token,HOO,1.39,-0.004,0.035,0.059,8832185,114432549,0.0771824544430973,Stable
378,Beefy.Finance,BIFI,1462.88,-0.004,0.005,-0.093,1404924,114334270,0.012287864347233774,Low
379,Alpine F1 Team Fan Token,ALPINE,10.0,0.002,0.142,0.953,226663985,114038968,1.9876011592809222,High
380,DODO,DODO,0.395012,-0.003,0.009,-0.033,24729655,113721778,0.21745751284331838,High
381,Hathor,HTR,0.491681,0.001,0.0279999999999999,-0.049,5298234,112171936,0.047233151079785235,Stable
382,TitanSwap,TITAN,1.12,-0.018,-0.008,-0.038,24457,111774842,0.00021880594561699313,Low
383,PlatON Network,LAT,0.046419884436,0.005,0.022,-0.047,2598864,111691885,0.023268154172525604,Stable
384,Phantasma,SOUL,1.07,0.005,-0.009,-0.105,2935493,111502505,0.026326700014497433,Stable
385,Tornado Cash,TORN,47.28,-0.002,-0.01,-0.044,7275467,111302578,0.06536656320754763,Stable
386,Klever,KLV,0.020930640049,-0.002,-0.01,0.015,3409196,110824223,0.030762191763798786,Stable
387,JasmyCoin,JASMY,0.023128577628,-0.016,0.098,0.685,657631520,110553343,5.9485448576620605,High
388,BTC Standard Hashrate Token,BTCST,15.08,0.0069999999999999,-0.015,-0.092,3149394,109935865,0.028647557373565034,Stable
389,KardiaChain,KAI,0.032601817619,-0.002,-0.015,-0.061,2890097,109334845,0.02643344854972813,Stable
390,My Neighbor Alice,ALICE,6.27,0.001,0.033,-0.016,99965004,109282154,0.9147422551718737,High
391,Proton,XPR,0.011066116011,-0.002,0.008,-0.102,8687937,109182891,0.07957232969769962,Stable
392,Utrust,UTK,0.237003,-0.001,0.015,-0.051,8201156,109107417,0.07516588904308862,Stable
393,Kava Swap,SWP,1.82,-0.012,0.008,0.0,1981564,109049036,0.01817131148229499,Low
394,Regen,REGEN,0.873466,-0.002,0.013,-0.04,185688,107921529,0.001720583480613956,Low
395,BakerySwap,BAKE,0.559948,0.002,0.021,-0.016,15467623,107743877,0.14355918341419996,High
396,Hydra,HYDRA,9.26,0.004,0.04,0.0559999999999999,884096,107523003,0.008222389398852635,Low
397,Venus,XVS,8.86,0.003,0.04,-0.01,15729939,106857130,0.14720532920919738,High
398,CRYPTO20,C20,3.21,0.005,0.094,-0.0139999999999999,244162,106817045,0.002285796241601703,Low
399,Pylon Protocol,MINE,0.054820562279,-0.002,0.025,0.118,255036,106639197,0.0023915783987008077,Low
400,QuarkChain,QKC,0.016027563853,0.008,0.0279999999999999,-0.031,2308543,106547838,0.02166672776598245,Stable
401,Orion Protocol,ORN,3.06,0.003,-0.012,-0.074,9655123,104853664,0.09208188471124862,Stable
402,Seedify.fund,SFUND,4.37,-0.002,0.013,-0.168,3082745,104617801,0.029466734824602173,Stable
403,TomoChain,TOMO,1.19,0.0069999999999999,0.015,-0.0279999999999999,2030435,104551092,0.01942050495273641,Low
404,Ellipsis,EPS,0.166502,-0.001,0.012,-0.0289999999999999,5645716,104379795,0.05408820739684342,Stable
405,Railgun,RAIL,1.81,-0.001,0.021,-0.175,471794,104202720,0.004527655324160444,Low
406,Decentral Games Governance,XDG,0.338029,0.013,0.052,0.013,147662,104005183,0.0014197561673440831,Low
407,Hermez Network,HEZ,6.17,0.002,0.015,0.013,68193,103279211,0.0006602780882979441,Low
408,AIOZ Network,AIOZ,0.214561,-0.012,-0.095,-0.107,5493212,103148149,0.05325555575408338,Stable
409,ICHI,ICHI,23.02,0.005,0.017,0.108,662181,100868057,0.006564823589295469,Low
410,sETH,SETH,2821.01,0.006,0.039,0.033,3277906,100163119,0.03272567820097535,Stable
411,Bitcoin Diamond,BCD,0.52929,0.015,0.0289999999999999,-0.0409999999999999,13758923,99286361,0.13857817792314897,High
412,Metal,MTL,1.52,0.004,-0.001,-0.044,10399052,98146821,0.10595403798152565,Stable
413,Dopex Rebate Token,RDPX,105.79,-0.013,0.052,0.092,1970405,97862985,0.020134323513634905,Stable
414,Wilder World,WILD,1.17,-0.012,0.004,-0.178,4126450,97738316,0.042219368706946,Stable
415,Wrapped Centrifuge,WCFG,0.481036,-0.003,-0.01,-0.043,1727756,95950030,0.01800683126414864,Low
416,Bounce,AUCTION,13.12,0.002,0.002,-0.0,1640514,94608029,0.01734011391358761,Low
417,Augur,REP,13.56,0.001,0.01,-0.0409999999999999,5896456,94396497,0.06246477557318679,Stable
418,sUSD,SUSD,0.997496,0.001,0.004,-0.003,9442897,94221877,0.10021979290435915,Stable
419,Electroneum,ETN,0.005214209583,0.006,0.025,-0.05,189537,93414016,0.0020289995882416616,Low
420,KeeperDAO,ROOK,115.76,0.008,0.07,-0.105,652966,93199097,0.007006140842759453,Low
421,Dvision Network,DVI,0.380746,0.008,0.091,-0.108,2438408,92462684,0.026371806381912947,Stable
422,cUNI,CUNI,0.186789,0.002,0.02,0.013,818771,91378796,0.008960185905710554,Low
423,Wanchain,WAN,0.472639,0.001,0.0,0.003,5680953,91293951,0.062227047222438645,Stable
424,IDEX,IDEX,0.142172,0.004,-0.002,-0.055,11854190,90697310,0.13070056873792618,High
425,Verasity,VRA,0.020213148673,0.008,-0.03,-0.113,55707710,90445041,0.615928848990184,High
426,Neutrino System Base Token,NSBT,35.75,-0.001,0.009,0.188,208377,90375202,0.0023056877925429144,Low
427,Everipedia,IQ,0.008982625251,-0.005,-0.004,-0.005,2844319,90044377,0.03158796911882682,Stable
428,HUNT,HUNT,0.821299,-0.001,0.069,0.006,104480496,89930148,1.1617961086864885,High
429,Somnium Space CUBEs,CUBE,6.89,0.011,0.173,0.2,379297,89700384,0.004228488029661055,Low
430,bZx Protocol,BZRX,0.062809109348,-0.7040000000000001,-0.6459999999999999,-0.4639999999999999,43,88971844,4.832989636586604e-07,Low
431,AllianceBlock,ALBT,0.229837,-0.003,0.038,0.053,380133,88953339,0.004273397764191854,Low
432,ZoidPay,ZPAY,0.303949,-0.004,-0.018,0.212,580730,88904956,0.0065320318025915225,Low
433,Ampleforth,AMPL,1.07,0.0,-0.049,0.104,1359111,88008725,0.015442912052185735,Low
434,Bonfida,FIDA,1.65,-0.002,0.025,-0.083,7357829,87734475,0.08386474074188055,Stable
435,Avalaunch,XAVA,3.92,-0.002,0.034,-0.024,1323970,86912829,0.015233309227570995,Low
436,Adventure Gold,AGLD,1.11,-0.011,0.009,0.089,56512453,85908280,0.6578231225209025,High
437,Adshares,ADS,3.55,0.001,0.0279999999999999,0.298,1188991,85408124,0.013921286925819844,Low
438,Automata,ATA,0.368096,0.004,0.004,-0.003,3784037,83651315,0.04523583400930398,Stable
439,Gains Farm,GFARM2,2330.78,-0.0,0.03,0.102,138508,83519135,0.001658398401755478,Low
440,Crabada,CRA,0.957634,0.026,0.064,0.033,2393019,83266240,0.028739366638868287,Stable
441,CertiK,CTK,1.17,-0.002,-0.003,-0.009,4539353,82895723,0.05475979743852406,Stable
442,Celo Dollar,CUSD,1.0,-0.001,0.005,0.004,2890566,82678314,0.034961598273520675,Stable
443,Propy,PRO,1.43,-0.005,0.087,-0.131,1092863,82507865,0.013245561498894682,Low
444,Swarm,BZZ,1.26,0.002,0.052,-0.0139999999999999,1150674,81979222,0.014036166383720987,Low
445,Clover Finance,CLV,0.313737,-0.003,0.0279999999999999,-0.0139999999999999,10080749,81842102,0.12317314381783596,High
446,Covalent,CQT,0.319453,-0.0,0.036,-0.1,1930543,81675970,0.023636609396864218,Stable
447,chrono.tech,TIME,113.61,0.012,-0.036,-0.2339999999999999,150984,80595619,0.0018733524461174496,Low
448,Biswap,BSW,0.355954,0.002,-0.002,0.0579999999999999,4931153,80314265,0.06139822110057286,Stable
449,Gitcoin,GTC,5.65,0.004,-0.003,-0.102,7848894,80282760,0.09776562240760034,Stable
450,DFI.money,YFII,2018.73,0.001,-0.0139999999999999,-0.001,11327787,80185006,0.1412706385530482,High
451,Redacted Cartel,BTRFLY,129.99,-0.001,0.14,-0.212,2195840,80079688,0.02742068625442197,Stable
452,SafePal,SFP,0.740146,-0.002,0.013,-0.018,8669227,80075567,0.1082630735540093,Stable
453,Platypus Finance,PTP,4.14,0.005,-0.135,-0.354,5248814,79450747,0.06606374638617306,Stable
454,BENQI,QI,0.050743317046,0.0,0.024,-0.048,8530801,79411049,0.10742586966707869,Stable
455,Aergo,AERGO,0.218479,-0.004,0.012,-0.129,7272167,79214487,0.09180349801419531,Stable
456,Enzyme,MLN,54.27,0.005,0.006,0.033,5114354,78897484,0.0648227768581315,Stable
457,Nerve Finance,NRV,0.018468001417,-0.015,0.057,-0.04,26173,77747624,0.0003366405126412609,Low
458,Rai Reflex Index,RAI,3.04,0.003,0.003,0.002,1057135,77616933,0.01361990172943319,Low
459,Aurory,AURY,8.09,-0.001,0.008,0.004,1438567,76843664,0.0187206976491907,Low
460,RIZON,ATOLO,0.034953545858,0.001,-0.018,-0.05,334964,75194885,0.0044546115071523815,Low
461,Aave [OLD],LEND,1.47,0.002,0.079,0.072,11843,75160944,0.00015756853719133703,Low
462,mStable USD,MUSD,0.999305,-0.0,-0.0,0.0,100066,74706759,0.001339450423756169,Low
463,DeFi Pulse Index,DPI,158.57,-0.005,0.024,0.012,264648,74590066,0.0035480327903182176,Low
464,Blox,CDT,0.110513,0.053,0.151,-0.0069999999999999,151228,74560549,0.0020282575977277205,Low
465,PlatonCoin,PLTC,0.682181,-0.001,0.068,0.1989999999999999,195574,74286948,0.002632683200284389,Low
466,ShapeShift FOX Token,FOX,0.272417,0.001,0.002,-0.0279999999999999,671439,74091492,0.00906229557369421,Low
467,Handshake,HNS,0.155984,-0.004,-0.001,-0.168,171651,74049207,0.00231806668773644,Low
468,PEAKDEFI,PEAK,0.05519710958,0.04,-0.018,-0.175,72443,74047013,0.000978337910808097,Low
469,Presearch,PRE,0.186584,0.001,0.037,-0.025,706220,74002744,0.009543159642837027,Low
470,SingularityNET,AGIX,0.082793325047,-0.001,-0.015,-0.081,1211638,73431209,0.016500313919657783,Low
471,Sifchain,EROWAN,0.092998915614,0.005,0.026,-0.031,2618246,72370847,0.036178186500981535,Stable
472,Badger DAO,BADGER,7.24,-0.005,-0.011,-0.074,3893756,72193740,0.05393481484682744,Stable
473,Index Coop - ETH 2x Flexible Leverage Index,ETH2X-FLI,69.79,0.002,0.0559999999999999,0.063,1140003,72083620,0.015815007625865626,Low
474,Oxygen,OXY,0.355128,0.012,0.094,0.09,628756,71658098,0.008774388625274425,Low
475,Hifi Finance,MFT,0.007610380739,-0.003,0.0069999999999999,0.0579999999999999,13457578,71444464,0.18836418172302336,High
476,Vader Protocol,VADER,0.014688496373,0.008,0.022,-0.363,3416278,71296654,0.04791638609015228,Stable
477,MAPS,MAPS,0.944908,0.0069999999999999,0.143,0.121,1481120,70633226,0.020969168249514752,Stable
478,Wrapped NXM,WNXM,26.39,0.003,-0.01,-0.03,1579870,70593491,0.022379825358119772,Stable
479,Sovryn,SOV,3.32,-0.006,-0.0289999999999999,-0.159,732020,70581427,0.010371283652284333,Low
480,Netvrk,NTVRK,1.71,-0.0069999999999999,0.1159999999999999,-0.0289999999999999,2603788,70480323,0.03694347428004835,Stable
481,Dock,DOCK,0.033661853536,0.001,0.008,-0.022,2401530,70448413,0.034089199425968615,Stable
482,ShareToken,SHR,0.007367750574,-0.0,0.0289999999999999,-0.175,261673,69453171,0.0037676177521109872,Low
483,TempleDAO,TEMPLE,0.641015,0.001,-0.036,-0.05,857448,69369413,0.012360606251634276,Low
484,cVault.finance,CORE,6926.41,-0.005,0.026,0.0,42667,68840419,0.0006197957627189922,Low
485,GuildFi,GF,1.58,0.001,0.031,0.019,4047040,68575496,0.05901583271085637,Stable
486,ChainX,PCX,1.64,0.006,-0.015,0.033,523787,68530128,0.007643163894280191,Low
487,Loom Network (OLD),LOOMOLD,0.082172200347,0.005,0.102,0.018,2657217,68416663,0.03883874020573029,Stable
488,Travala.com,AVA,1.32,0.002,-0.01,0.003,3591714,68291858,0.05259359029300389,Stable
489,Banana,BANANA,15.33,0.002,-0.181,0.3929999999999999,541918,68212793,0.007944521491738361,Low
490,IRISnet,IRIS,0.055425599401,0.016,-0.003,-0.088,2976839,68090240,0.043719026397909595,Stable
491,Circuits of Value,COVAL,0.037961003776,0.002,-0.012,-0.054,366787,67826274,0.005407742138393155,Low
492,ARPA Chain,ARPA,0.069003373522,-0.0,0.008,-0.037,13633759,67762845,0.20119814922174534,High
493,SuperRare,RARE,0.464613,-0.003,0.0139999999999999,0.019,9398219,67388220,0.13946382617021194,High
494,Verus Coin,VRSC,0.999387,0.053,0.061,-0.122,20275,67318962,0.00030117814353703196,Low
